c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
262,Customer#000000262,398 Main St,17,60-665-433-5525,4716.57,AUTOMOBILE,blithely silent regular final pending blithely slyly furiously
263,Customer#000000263,948 Main St,3,82-898-203-5687,8542.22,FURNITURE,express blithely silent regular unusual final
264,Customer#000000264,634 Main St,19,97-810-511-1635,3353.72,FURNITURE,unusual carefully furiously quickly special slyly express express
265,Customer#000000265,504 Main St,22,97-200-989-4734,478.25,MACHINERY,express regular blithely unusual unusual
266,Customer#000000266,844 Main St,13,72-877-628-7126,8031.18,HOUSEHOLD,special carefully final slyly
267,Customer#000000267,537 Main St,18,13-277-297-4288,8206.74,BUILDING,regular furiously carefully
268,Customer#000000268,281 Main St,11,69-617-506-3029,6492.91,BUILDING,regular regular furiously regular silent
269,Customer#000000269,353 Main St,5,43-866-950-2480,2135.77,MACHINERY,pending silent furiously
270,Customer#000000270,878 Main St,7,92-330-793-4387,1959.92,MACHINERY,special slyly slyly special quickly blithely blithely
271,Customer#000000271,9 Main St,7,42-722-924-6004,6840.14,FURNITURE,quickly quickly regular unusual express silent
272,Customer#000000272,639 Main St,12,84-204-107-9380,9993.71,FURNITURE,blithely blithely express pending special furiously blithely
273,Customer#000000273,883 Main St,8,43-771-828-5895,1071.97,HOUSEHOLD,quickly slyly slyly blithely
274,Customer#000000274,677 Main St,10,97-243-838-1417,6209.4,FURNITURE,quickly final carefully silent furiously
275,Customer#000000275,836 Main St,6,53-843-830-4643,6549.5,MACHINERY,final express unusual blithely silent express regular carefully
276,Customer#000000276,743 Main St,17,33-796-443-2463,1444.79,BUILDING,quickly regular quickly final blithely regular pending special
277,Customer#000000277,650 Main St,18,84-735-172-8736,8783.68,HOUSEHOLD,quickly final express
278,Customer#000000278,56 Main St,4,27-305-450-7704,9859.1,MACHINERY,express carefully slyly regular
279,Customer#000000279,647 Main St,5,50-749-159-1077,3972.59,BUILDING,silent pending slyly slyly
280,Customer#000000280,133 Main St,19,65-748-539-7609,3719.28,MACHINERY,special silent carefully furiously quickly slyly
281,Customer#000000281,544 Main St,6,12-792-104-5076,1488.93,FURNITURE,pending final blithely unusual slyly
282,Customer#000000282,306 Main St,9,68-845-632-9587,2716.19,BUILDING,furiously regular slyly pending quickly
283,Customer#000000283,832 Main St,12,12-333-329-3149,1323.1,AUTOMOBILE,silent pending carefully slyly final blithely slyly
284,Customer#000000284,639 Main St,1,86-149-777-2771,6189.24,AUTOMOBILE,carefully regular final
285,Customer#000000285,561 Main St,8,70-818-256-4366,6647.11,AUTOMOBILE,regular pending silent blithely carefully
286,Customer#000000286,429 Main St,3,75-836-732-2928,2109.78,AUTOMOBILE,unusual unusual express silent unusual carefully
287,Customer#000000287,303 Main St,5,15-661-608-4402,6570.24,MACHINERY,unusual special pending pending silent
288,Customer#000000288,506 Main St,4,21-898-623-2229,6959.2,AUTOMOBILE,blithely regular furiously express special
289,Customer#000000289,833 Main St,5,15-972-397-6901,7817.55,FURNITURE,carefully pending slyly special quickly blithely
290,Customer#000000290,175 Main St,10,55-548-736-5395,8663.22,AUTOMOBILE,slyly unusual final furiously express
291,Customer#000000291,395 Main St,22,71-919-531-3732,243.63,AUTOMOBILE,pending quickly regular silent
292,Customer#000000292,449 Main St,5,88-488-897-6875,5724.94,BUILDING,furiously pending final special express express
293,Customer#000000293,722 Main St,21,77-885-861-4669,9756.84,FURNITURE,silent carefully pending blithely unusual final carefully
294,Customer#000000294,395 Main St,4,81-727-155-1190,6077.38,BUILDING,quickly quickly quickly special regular unusual furiously
295,Customer#000000295,52 Main St,16,38-663-758-7203,3436.05,BUILDING,regular slyly regular
296,Customer#000000296,878 Main St,15,67-423-221-9148,7197.62,AUTOMOBILE,final special silent
297,Customer#000000297,846 Main St,2,87-733-752-5990,8791.21,HOUSEHOLD,blithely regular final slyly
298,Customer#000000298,837 Main St,7,68-439-673-8751,6883.23,FURNITURE,regular pending blithely special final blithely slyly silent
299,Customer#000000299,383 Main St,22,23-146-268-9067,544.95,MACHINERY,express unusual pending
300,Customer#000000300,873 Main St,12,37-568-944-4122,6884.66,AUTOMOBILE,special blithely carefully pending quickly regular
301,Customer#000000301,604 Main St,16,27-610-104-9689,7098.35,HOUSEHOLD,quickly regular silent furiously unusual silent
302,Customer#000000302,749 Main St,4,23-496-773-6273,4545.21,MACHINERY,furiously quickly slyly express furiously furiously
303,Customer#000000303,464 Main St,4,27-522-716-9393,2288.05,HOUSEHOLD,carefully furiously blithely unusual blithely
304,Customer#000000304,298 Main St,21,54-788-235-3913,4542.83,FURNITURE,pending final regular silent carefully regular carefully quickly
305,Customer#000000305,293 Main St,13,11-635-209-1414,3189.58,AUTOMOBILE,special express slyly furiously carefully pending special slyly
306,Customer#000000306,209 Main St,24,79-133-467-8415,127.29,HOUSEHOLD,carefully silent unusual slyly
307,Customer#000000307,818 Main St,22,46-809-780-1769,9191.32,MACHINERY,furiously furiously express silent special express
308,Customer#000000308,636 Main St,24,66-949-330-7025,7306.18,HOUSEHOLD,blithely slyly furiously express unusual carefully unusual unusual
309,Customer#000000309,527 Main St,3,58-141-538-5572,5122.58,BUILDING,blithely express express carefully
310,Customer#000000310,159 Main St,1,29-430-711-1833,7510.26,HOUSEHOLD,express slyly silent special carefully silent furiously silent
311,Customer#000000311,806 Main St,16,30-525-656-9798,3437.59,FURNITURE,quickly blithely express express
312,Customer#000000312,974 Main St,24,89-643-586-1144,261.95,FURNITURE,unusual blithely furiously unusual special quickly
313,Customer#000000313,391 Main St,3,59-362-653-5633,-728.23,HOUSEHOLD,silent silent regular express blithely
314,Customer#000000314,329 Main St,16,20-198-271-9814,4865.26,AUTOMOBILE,carefully slyly quickly regular
315,Customer#000000315,107 Main St,6,78-948-819-8130,6112.17,AUTOMOBILE,carefully special carefully special special unusual express special
316,Customer#000000316,842 Main St,7,43-517-497-8391,5932.39,MACHINERY,special carefully silent blithely blithely
317,Customer#000000317,775 Main St,23,84-146-817-2189,2934.7,HOUSEHOLD,express carefully blithely
318,Customer#000000318,289 Main St,24,66-490-504-1504,4213.86,HOUSEHOLD,pending final slyly silent
319,Customer#000000319,984 Main St,20,28-405-793-7113,9531.3,AUTOMOBILE,quickly pending special silent final silent pending
320,Customer#000000320,216 Main St,23,54-316-522-9397,567.01,BUILDING,blithely express pending carefully
321,Customer#000000321,581 Main St,1,80-572-760-2198,2197.18,AUTOMOBILE,pending carefully regular express pending
322,Customer#000000322,672 Main St,7,22-391-734-2143,8901.3,FURNITURE,regular blithely express blithely silent final
323,Customer#000000323,324 Main St,13,31-104-420-5033,7642.26,MACHINERY,quickly pending carefully quickly regular
324,Customer#000000324,368 Main St,24,49-598-664-2783,933.48,HOUSEHOLD,quickly quickly pending
325,Customer#000000325,552 Main St,6,43-851-741-2252,7001.67,AUTOMOBILE,blithely slyly silent slyly unusual special express
326,Customer#000000326,916 Main St,17,70-769-893-3435,3024.01,BUILDING,carefully express regular silent final silent blithely
327,Customer#000000327,869 Main St,19,97-269-875-9423,544.08,BUILDING,silent silent quickly pending
328,Customer#000000328,750 Main St,15,55-141-324-8989,1549.25,FURNITURE,unusual carefully silent slyly final
329,Customer#000000329,940 Main St,14,15-140-764-6309,135.48,HOUSEHOLD,slyly quickly express silent unusual blithely final blithely
330,Customer#000000330,856 Main St,2,76-357-485-4651,4680.09,FURNITURE,regular regular blithely silent pending
331,Customer#000000331,170 Main St,7,19-626-758-5600,1326.69,BUILDING,final carefully pending unusual
332,Customer#000000332,831 Main St,10,24-593-791-8844,4269.23,HOUSEHOLD,blithely final unusual pending
333,Customer#000000333,607 Main St,5,27-744-624-1642,8798.77,BUILDING,pending furiously silent
334,Customer#000000334,416 Main St,19,82-752-119-5644,9419.78,BUILDING,blithely regular regular unusual final pending
335,Customer#000000335,597 Main St,24,33-738-775-9369,1909.73,FURNITURE,blithely special final pending special silent
336,Customer#000000336,932 Main St,16,97-529-946-3450,5660.62,BUILDING,quickly blithely quickly silent slyly pending
337,Customer#000000337,676 Main St,4,87-652-947-1019,8866.65,MACHINERY,regular quickly carefully regular furiously regular slyly
338,Customer#000000338,359 Main St,18,99-689-200-7971,472.72,MACHINERY,quickly pending blithely silent
339,Customer#000000339,264 Main St,6,10-826-861-1116,5357.86,AUTOMOBILE,special blithely carefully express final pending blithely
340,Customer#000000340,260 Main St,8,78-533-678-6990,5730.69,MACHINERY,final slyly regular final
341,Customer#000000341,569 Main St,15,42-414-691-6641,7516.13,MACHINERY,pending quickly pending unusual slyly furiously pending silent
342,Customer#000000342,805 Main St,10,80-728-813-1852,768.12,AUTOMOBILE,slyly regular blithely
343,Customer#000000343,91 Main St,2,43-327-479-2311,5699.32,MACHINERY,blithely silent carefully blithely furiously slyly
344,Customer#000000344,656 Main St,15,66-110-306-9489,2146.08,AUTOMOBILE,silent carefully blithely carefully final blithely furiously
345,Customer#000000345,89 Main St,8,61-461-785-7474,3459.96,BUILDING,special carefully furiously silent carefully silent silent
346,Customer#000000346,356 Main St,8,38-720-299-8450,9226.84,HOUSEHOLD,express final pending
347,Customer#000000347,75 Main St,16,47-448-219-9409,9523.79,HOUSEHOLD,express regular final regular unusual final slyly
348,Customer#000000348,698 Main St,14,85-982-128-8896,278.96,AUTOMOBILE,blithely furiously carefully unusual express furiously
349,Customer#000000349,529 Main St,17,11-817-952-5314,1730.84,AUTOMOBILE,carefully slyly special furiously regular final
350,Customer#000000350,916 Main St,18,44-287-864-4115,4488.99,BUILDING,carefully quickly unusual unusual
351,Customer#000000351,256 Main St,19,55-259-897-2747,318.67,AUTOMOBILE,furiously regular special quickly furiously quickly final express
352,Customer#000000352,920 Main St,18,45-602-287-9374,2082.94,BUILDING,pending silent regular furiously special final quickly
353,Customer#000000353,795 Main St,5,68-223-815-9490,4060.78,AUTOMOBILE,carefully final pending
354,Customer#000000354,371 Main St,19,43-291-661-5306,1608.54,MACHINERY,final unusual regular regular slyly final final
355,Customer#000000355,462 Main St,5,83-234-689-4744,7956.09,FURNITURE,silent quickly unusual slyly
356,Customer#000000356,757 Main St,4,70-925-109-3893,3636.73,BUILDING,silent carefully slyly express silent silent final carefully
357,Customer#000000357,62 Main St,6,42-587-959-2577,3948.4,FURNITURE,final silent furiously express special
358,Customer#000000358,125 Main St,11,96-720-303-9821,919.93,FURNITURE,express silent slyly regular special
359,Customer#000000359,629 Main St,9,69-746-248-3745,6046.38,FURNITURE,blithely silent quickly special pending unusual
360,Customer#000000360,325 Main St,20,47-827-373-7479,1983.73,MACHINERY,carefully silent regular unusual quickly
361,Customer#000000361,129 Main St,23,40-777-357-2311,1316.29,MACHINERY,pending furiously regular
362,Customer#000000362,56 Main St,0,60-636-883-2363,143.22,HOUSEHOLD,pending furiously final unusual
363,Customer#000000363,756 Main St,9,66-741-229-3150,4794.17,BUILDING,special final quickly
364,Customer#000000364,885 Main St,15,69-991-653-5463,5034.0,BUILDING,silent blithely regular carefully quickly regular blithely silent
365,Customer#000000365,931 Main St,11,71-652-332-2467,3860.46,FURNITURE,express express special slyly quickly final
366,Customer#000000366,481 Main St,17,11-804-603-8816,2295.72,MACHINERY,blithely slyly silent unusual quickly
367,Customer#000000367,448 Main St,12,41-267-832-7385,8112.69,BUILDING,special blithely silent slyly blithely
368,Customer#000000368,711 Main St,21,44-391-764-9715,7896.89,MACHINERY,quickly unusual express blithely
369,Customer#000000369,633 Main St,14,44-817-737-9060,1065.69,AUTOMOBILE,special silent unusual pending
370,Customer#000000370,276 Main St,4,66-844-108-4814,-7.82,AUTOMOBILE,unusual regular slyly regular final carefully
371,Customer#000000371,33 Main St,10,20-963-868-3393,-383.57,MACHINERY,silent unusual quickly
372,Customer#000000372,257 Main St,12,11-224-886-5078,3232.78,MACHINERY,carefully special regular slyly
373,Customer#000000373,534 Main St,21,36-584-498-6113,9298.36,BUILDING,carefully carefully silent pending regular express final special
374,Customer#000000374,683 Main St,6,24-341-748-8113,2569.65,BUILDING,blithely final unusual furiously silent
375,Customer#000000375,708 Main St,15,98-710-258-7084,7478.76,BUILDING,regular carefully final furiously
376,Customer#000000376,778 Main St,20,17-161-464-3521,6714.61,AUTOMOBILE,regular express silent blithely
377,Customer#000000377,356 Main St,14,34-121-805-7189,2939.85,BUILDING,quickly regular regular express carefully
378,Customer#000000378,195 Main St,18,33-656-456-6303,7056.42,FURNITURE,quickly silent special pending express express final
379,Customer#000000379,1 Main St,24,91-618-488-4039,8712.25,HOUSEHOLD,slyly unusual carefully blithely silent
380,Customer#000000380,397 Main St,6,77-799-609-3525,5743.43,FURNITURE,blithely pending silent special quickly pending
381,Customer#000000381,895 Main St,1,35-209-597-4139,86.3,HOUSEHOLD,quickly blithely silent carefully express final blithely special
382,Customer#000000382,953 Main St,6,93-603-952-2310,4148.65,AUTOMOBILE,silent furiously final final carefully
383,Customer#000000383,844 Main St,19,44-641-141-2153,8179.01,AUTOMOBILE,furiously pending carefully silent
384,Customer#000000384,195 Main St,6,77-772-354-3931,5142.66,HOUSEHOLD,carefully slyly silent carefully carefully regular
385,Customer#000000385,107 Main St,5,33-663-511-9268,2712.64,BUILDING,furiously regular final express furiously express final
386,Customer#000000386,783 Main St,20,65-945-843-6299,5692.54,HOUSEHOLD,unusual slyly furiously express furiously regular final
387,Customer#000000387,744 Main St,1,46-710-116-9480,485.95,FURNITURE,express unusual quickly
388,Customer#000000388,23 Main St,24,98-942-382-9376,5119.55,HOUSEHOLD,pending regular pending express
389,Customer#000000389,911 Main St,18,41-338-362-5920,10.96,MACHINERY,furiously carefully carefully slyly unusual slyly carefully
390,Customer#000000390,591 Main St,3,86-757-407-1612,7038.68,HOUSEHOLD,special special slyly final slyly final
391,Customer#000000391,889 Main St,3,39-865-768-1187,5972.76,MACHINERY,express special silent
392,Customer#000000392,154 Main St,10,74-814-326-3509,-444.27,MACHINERY,slyly silent pending regular slyly pending
393,Customer#000000393,345 Main St,2,70-685-863-1807,5029.68,FURNITURE,final regular carefully
394,Customer#000000394,781 Main St,4,71-672-302-8993,3348.51,HOUSEHOLD,silent furiously silent unusual
395,Customer#000000395,273 Main St,24,65-431-801-2467,237.84,MACHINERY,final unusual final blithely slyly unusual
396,Customer#000000396,359 Main St,19,66-738-249-8216,-506.34,BUILDING,carefully pending carefully pending
397,Customer#000000397,758 Main St,1,41-735-251-5713,-848.92,AUTOMOBILE,regular special unusual silent unusual
398,Customer#000000398,536 Main St,24,43-661-594-3315,6645.78,AUTOMOBILE,silent blithely special unusual express slyly
399,Customer#000000399,633 Main St,8,16-576-770-1136,-267.42,FURNITURE,quickly blithely quickly special quickly blithely unusual final
400,Customer#000000400,727 Main St,3,50-596-987-9709,-31.76,BUILDING,furiously silent carefully special furiously express regular
401,Customer#000000401,763 Main St,5,12-455-800-6765,2909.16,FURNITURE,furiously furiously express special
402,Customer#000000402,264 Main St,12,13-668-386-4695,668.8,MACHINERY,pending carefully silent carefully quickly carefully regular silent
403,Customer#000000403,437 Main St,9,87-437-559-9883,449.5,BUILDING,silent slyly quickly express carefully silent pending
404,Customer#000000404,931 Main St,24,28-771-678-3589,2492.46,HOUSEHOLD,furiously pending express quickly carefully slyly quickly
405,Customer#000000405,424 Main St,13,48-553-863-5485,671.53,BUILDING,pending special furiously
406,Customer#000000406,632 Main St,8,87-680-727-4783,5559.97,BUILDING,special special slyly pending quickly regular blithely unusual
407,Customer#000000407,397 Main St,15,70-240-267-4166,1489.01,MACHINERY,furiously furiously unusual
408,Customer#000000408,688 Main St,6,36-167-281-8197,8538.41,MACHINERY,express regular unusual final special carefully final express
409,Customer#000000409,627 Main St,23,83-708-649-9605,6055.33,AUTOMOBILE,pending regular quickly quickly unusual silent furiously
410,Customer#000000410,41 Main St,17,59-628-883-1807,1088.36,MACHINERY,quickly slyly express pending express furiously
411,Customer#000000411,707 Main St,16,28-574-949-8400,-5.14,HOUSEHOLD,unusual blithely quickly
412,Customer#000000412,560 Main St,4,60-523-431-8387,-725.96,MACHINERY,quickly quickly quickly pending express blithely carefully
413,Customer#000000413,168 Main St,22,25-193-216-8362,5974.79,AUTOMOBILE,carefully carefully furiously blithely pending silent special
414,Customer#000000414,175 Main St,10,82-992-775-3459,783.37,BUILDING,slyly special express carefully
415,Customer#000000415,985 Main St,14,46-741-285-2926,8883.95,BUILDING,blithely express regular
416,Customer#000000416,876 Main St,15,79-926-105-9084,1616.67,HOUSEHOLD,regular final special blithely unusual silent blithely silent
417,Customer#000000417,846 Main St,6,16-289-251-1902,6186.04,AUTOMOBILE,quickly carefully quickly express
418,Customer#000000418,943 Main St,2,16-211-526-3920,774.69,FURNITURE,blithely carefully silent silent furiously carefully final
419,Customer#000000419,37 Main St,2,48-430-477-7208,8022.91,MACHINERY,special regular pending quickly express final unusual
420,Customer#000000420,215 Main St,19,17-211-685-9666,9859.07,MACHINERY,carefully furiously furiously express blithely express silent furiously
421,Customer#000000421,363 Main St,4,88-676-608-9514,7021.03,MACHINERY,slyly quickly unusual express unusual pending
422,Customer#000000422,477 Main St,20,25-855-968-4396,7795.2,MACHINERY,special final slyly unusual blithely carefully
423,Customer#000000423,261 Main St,2,49-407-618-6307,7437.35,AUTOMOBILE,express final silent furiously slyly unusual quickly furiously
424,Customer#000000424,491 Main St,15,14-761-239-8888,709.26,MACHINERY,quickly regular slyly furiously special silent silent
425,Customer#000000425,695 Main St,10,81-648-119-4412,5351.37,FURNITURE,special pending quickly final final
426,Customer#000000426,548 Main St,5,83-720-498-4070,5547.11,FURNITURE,quickly carefully express pending quickly final slyly express
427,Customer#000000427,538 Main St,9,32-214-483-1612,7555.69,AUTOMOBILE,silent slyly quickly pending final regular
428,Customer#000000428,895 Main St,16,49-894-435-3347,7464.29,AUTOMOBILE,carefully pending carefully regular carefully silent special
429,Customer#000000429,955 Main St,1,97-968-708-2426,2666.19,AUTOMOBILE,silent blithely express
430,Customer#000000430,592 Main St,24,49-754-314-6257,1206.12,FURNITURE,silent slyly carefully express pending
431,Customer#000000431,118 Main St,0,89-673-626-2677,1272.36,FURNITURE,express pending carefully express unusual special blithely
432,Customer#000000432,347 Main St,17,66-151-233-1475,4178.09,AUTOMOBILE,final pending final
433,Customer#000000433,722 Main St,19,85-744-956-8304,5779.47,FURNITURE,slyly carefully carefully silent furiously
434,Customer#000000434,774 Main St,24,69-681-234-2522,7941.35,MACHINERY,regular carefully carefully
435,Customer#000000435,477 Main St,15,39-329-247-5227,9041.47,MACHINERY,carefully blithely slyly quickly
436,Customer#000000436,465 Main St,15,13-166-586-2849,2865.85,MACHINERY,express final silent silent
437,Customer#000000437,416 Main St,22,23-433-669-2162,7716.73,HOUSEHOLD,final final blithely silent furiously final
438,Customer#000000438,349 Main St,6,98-705-541-8132,5239.32,FURNITURE,carefully unusual carefully carefully carefully quickly pending
439,Customer#000000439,611 Main St,14,51-668-199-8294,937.92,MACHINERY,blithely carefully blithely
440,Customer#000000440,840 Main St,12,51-606-760-2007,-4.13,BUILDING,quickly blithely special pending pending silent final
441,Customer#000000441,592 Main St,14,35-310-797-6187,2297.09,FURNITURE,carefully quickly furiously silent blithely silent
442,Customer#000000442,868 Main St,4,47-163-478-9992,9646.89,AUTOMOBILE,silent furiously pending express special regular blithely blithely
443,Customer#000000443,729 Main St,12,61-490-545-9931,1323.38,BUILDING,pending silent quickly final regular express
444,Customer#000000444,894 Main St,21,26-237-111-2175,6132.28,BUILDING,quickly blithely furiously pending pending slyly quickly quickly
445,Customer#000000445,713 Main St,19,64-738-284-8444,4603.56,HOUSEHOLD,final unusual regular special regular carefully
446,Customer#000000446,730 Main St,16,44-520-659-7012,-631.91,AUTOMOBILE,regular final silent furiously special carefully silent
447,Customer#000000447,880 Main St,24,45-576-629-2281,4756.92,HOUSEHOLD,unusual blithely blithely
448,Customer#000000448,685 Main St,2,97-748-652-6119,5743.43,FURNITURE,slyly regular silent regular carefully regular furiously
449,Customer#000000449,818 Main St,9,47-271-136-5981,6996.68,HOUSEHOLD,special regular unusual special furiously
450,Customer#000000450,829 Main St,23,89-127-393-8942,-92.38,HOUSEHOLD,quickly express pending
451,Customer#000000451,288 Main St,8,42-114-859-2827,5642.03,HOUSEHOLD,pending regular slyly express carefully regular slyly quickly
452,Customer#000000452,352 Main St,2,28-709-941-3525,8213.75,MACHINERY,unusual regular blithely unusual carefully final
453,Customer#000000453,658 Main St,8,24-153-271-8602,3386.19,FURNITURE,carefully slyly silent final carefully regular
454,Customer#000000454,149 Main St,16,65-112-395-8353,3202.05,FURNITURE,carefully special furiously blithely furiously regular furiously
455,Customer#000000455,879 Main St,8,52-376-373-2610,1808.79,HOUSEHOLD,regular carefully unusual carefully slyly silent
456,Customer#000000456,694 Main St,22,33-420-660-1173,6400.82,AUTOMOBILE,final silent carefully
457,Customer#000000457,360 Main St,7,46-357-297-1557,-739.29,AUTOMOBILE,furiously blithely quickly
458,Customer#000000458,974 Main St,19,91-224-825-2965,-49.74,HOUSEHOLD,final slyly blithely slyly
459,Customer#000000459,190 Main St,3,99-288-359-5826,4136.51,AUTOMOBILE,regular furiously slyly carefully carefully slyly express slyly
460,Customer#000000460,284 Main St,24,17-491-497-6450,9955.53,FURNITURE,unusual special furiously unusual final
461,Customer#000000461,661 Main St,15,23-247-653-8065,1402.26,AUTOMOBILE,carefully pending special silent express regular
462,Customer#000000462,919 Main St,15,29-768-755-1014,9261.82,MACHINERY,pending express final special carefully
463,Customer#000000463,790 Main St,15,71-546-513-2148,4941.42,AUTOMOBILE,furiously slyly regular silent furiously final
464,Customer#000000464,699 Main St,9,61-156-747-2485,3018.91,FURNITURE,quickly slyly express
465,Customer#000000465,208 Main St,5,80-140-493-4129,2287.58,MACHINERY,blithely final pending
466,Customer#000000466,648 Main St,14,34-243-136-4163,-720.98,HOUSEHOLD,regular special silent express
467,Customer#000000467,547 Main St,14,12-137-447-1918,2714.91,AUTOMOBILE,pending slyly carefully regular carefully quickly
468,Customer#000000468,153 Main St,23,84-338-173-1604,7090.05,MACHINERY,special quickly blithely unusual blithely special blithely quickly
469,Customer#000000469,841 Main St,3,68-725-274-2047,7995.8,AUTOMOBILE,regular slyly unusual
470,Customer#000000470,824 Main St,6,64-445-930-7586,2566.59,HOUSEHOLD,pending quickly slyly slyly blithely final pending
471,Customer#000000471,145 Main St,24,63-272-813-7060,5087.48,MACHINERY,furiously special pending quickly
472,Customer#000000472,628 Main St,12,30-116-598-2322,-930.14,BUILDING,carefully blithely express
473,Customer#000000473,711 Main St,24,70-808-229-4377,573.97,FURNITURE,regular unusual unusual carefully blithely carefully blithely
474,Customer#000000474,91 Main St,20,48-456-528-1074,5134.81,BUILDING,furiously furiously blithely
475,Customer#000000475,884 Main St,24,79-619-324-8605,7473.64,BUILDING,special pending pending quickly quickly
476,Customer#000000476,510 Main St,5,30-786-144-1885,6093.47,FURNITURE,regular final slyly slyly
477,Customer#000000477,45 Main St,3,16-650-280-3589,7640.41,MACHINERY,pending quickly carefully blithely express unusual carefully
478,Customer#000000478,334 Main St,7,24-433-333-2606,1608.31,MACHINERY,final unusual regular regular
479,Customer#000000479,912 Main St,13,28-321-724-8454,958.67,FURNITURE,regular unusual final express
480,Customer#000000480,344 Main St,4,14-808-682-1977,2086.65,AUTOMOBILE,regular unusual final quickly blithely slyly
481,Customer#000000481,654 Main St,19,31-691-666-4763,-48.77,HOUSEHOLD,quickly unusual regular regular special regular
482,Customer#000000482,894 Main St,7,41-435-544-4643,8810.04,HOUSEHOLD,quickly quickly regular special
483,Customer#000000483,482 Main St,23,74-134-535-9701,3337.52,AUTOMOBILE,regular special slyly carefully final unusual
484,Customer#000000484,368 Main St,9,40-763-192-1260,4277.61,FURNITURE,carefully quickly carefully special
485,Customer#000000485,466 Main St,14,27-995-820-7641,1034.41,FURNITURE,regular blithely quickly special quickly express special regular
486,Customer#000000486,277 Main St,22,88-655-689-4393,7664.6,AUTOMOBILE,quickly carefully special furiously carefully quickly pending
487,Customer#000000487,375 Main St,14,89-141-474-7003,927.95,HOUSEHOLD,special carefully unusual furiously unusual pending regular furiously
488,Customer#000000488,595 Main St,22,36-871-862-4693,2525.11,FURNITURE,carefully express special final regular silent pending
489,Customer#000000489,727 Main St,17,96-945-645-5788,3971.76,FURNITURE,furiously slyly furiously special quickly regular special quickly
490,Customer#000000490,296 Main St,2,23-268-382-2835,6667.9,MACHINERY,quickly silent blithely express
491,Customer#000000491,993 Main St,21,79-235-585-6680,3621.43,AUTOMOBILE,unusual special slyly quickly silent
492,Customer#000000492,344 Main St,13,84-451-771-6346,4347.63,HOUSEHOLD,regular express pending slyly unusual express regular
493,Customer#000000493,995 Main St,9,16-251-461-5659,4015.19,BUILDING,furiously carefully express furiously quickly carefully blithely
494,Customer#000000494,158 Main St,5,40-219-142-6187,5319.78,MACHINERY,final unusual carefully blithely furiously
495,Customer#000000495,152 Main St,11,67-652-266-9743,2317.16,AUTOMOBILE,furiously slyly furiously furiously pending furiously
496,Customer#000000496,560 Main St,16,52-762-822-5842,4213.02,FURNITURE,carefully slyly carefully furiously final pending regular
497,Customer#000000497,42 Main St,4,96-664-219-6047,-727.24,HOUSEHOLD,regular pending special blithely
498,Customer#000000498,598 Main St,16,38-900-885-5553,1152.88,AUTOMOBILE,quickly carefully furiously furiously final regular blithely
499,Customer#000000499,524 Main St,1,95-469-507-3423,6875.6,MACHINERY,final special final express regular
500,Customer#000000500,575 Main St,2,37-845-554-7809,7840.53,FURNITURE,slyly furiously regular quickly
501,Customer#000000501,143 Main St,18,86-188-247-4404,2335.55,HOUSEHOLD,special furiously slyly pending final
502,Customer#000000502,937 Main St,8,63-279-669-8571,6812.71,BUILDING,unusual final silent special
503,Customer#000000503,847 Main St,9,84-411-605-8593,1469.73,AUTOMOBILE,express furiously quickly regular
504,Customer#000000504,670 Main St,21,46-527-283-9059,8974.72,BUILDING,pending express furiously
505,Customer#000000505,69 Main St,19,56-695-592-8144,8551.8,MACHINERY,slyly final carefully special express silent pending regular
506,Customer#000000506,710 Main St,4,55-267-154-5467,2972.8,FURNITURE,express silent furiously
507,Customer#000000507,527 Main St,6,90-287-883-2548,5586.39,BUILDING,express express quickly slyly express carefully final
508,Customer#000000508,548 Main St,18,55-943-247-1211,506.45,FURNITURE,slyly final furiously pending unusual
509,Customer#000000509,516 Main St,7,34-914-672-9612,8306.76,HOUSEHOLD,slyly pending regular special slyly furiously regular express
510,Customer#000000510,372 Main St,4,66-711-635-6604,894.29,FURNITURE,carefully pending pending
511,Customer#000000511,711 Main St,4,98-332-414-3053,1308.26,AUTOMOBILE,carefully slyly special slyly slyly special
512,Customer#000000512,111 Main St,1,94-625-707-1971,4159.91,FURNITURE,special carefully slyly
513,Customer#000000513,802 Main St,3,87-310-701-4277,1032.61,FURNITURE,pending quickly furiously
514,Customer#000000514,972 Main St,18,54-460-264-9202,7588.82,HOUSEHOLD,silent special slyly slyly
515,Customer#000000515,542 Main St,6,34-388-275-9800,-952.37,AUTOMOBILE,furiously quickly regular carefully
516,Customer#000000516,190 Main St,14,96-209-285-6813,9794.3,MACHINERY,silent final slyly express
517,Customer#000000517,478 Main St,3,76-239-607-6918,6752.04,HOUSEHOLD,special express pending express blithely express furiously regular
518,Customer#000000518,568 Main St,13,47-975-538-4093,8424.5,MACHINERY,final special carefully carefully final silent carefully pending
519,Customer#000000519,405 Main St,12,98-704-204-3764,-288.18,BUILDING,unusual quickly final unusual regular
520,Customer#000000520,512 Main St,8,84-707-379-7557,2917.07,HOUSEHOLD,furiously silent pending regular pending regular
521,Customer#000000521,237 Main St,20,27-130-201-1865,8133.43,MACHINERY,special unusual blithely express express blithely slyly blithely
522,Customer#000000522,533 Main St,24,73-911-577-4308,2229.2,MACHINERY,silent silent slyly silent special slyly
523,Customer#000000523,441 Main St,3,59-560-422-7165,3868.12,AUTOMOBILE,unusual blithely slyly
